Bowl,Date,Team,Money Line,Adjusted Probability,Multiplier,Bettor,Points Wagered,Potential Points,Expected Points,Actual Points,Correct Pick,,,
Rose,2025-01-01,Ohio State,186,0.33,3.00,Elmer Fudd,,0.00,0.00,0.00,0.00,,7,Used
Rose,2025-01-01,Oregon,-144,0.56,1.78,Elmer Fudd,6,10.66,6.00,0.00,0.00,,8,Used
Rose,2025-01-01,Tennessee,820,0.10,9.65,Elmer Fudd,,0.00,0.00,0.00,0.00,,9,Used
Sugar,2025-01-01,Georgia,-215,0.65,1.54,Elmer Fudd,,0.00,0.00,0.00,0.00,,10,Used
Sugar,2025-01-01,Indiana,1020,0.09,11.74,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Sugar,2025-01-01,Notre Dame,260,0.26,3.77,Elmer Fudd,7,26.42,7.00,0.00,0.00,,,
Semis,,,,,,,,,,,,,,
Cotton,2025-01-10,Boise State,1800,0.05,20.66,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Georgia,136,0.39,2.57,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Indiana,1480,0.06,17.18,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Notre Dame,530,0.15,6.85,Elmer Fudd,8,54.80,8.00,54.80,1.00,,,
Cotton,2025-01-10,Penn State,215,0.29,3.42,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,SMU,1300,0.07,15.22,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Arizona State,1800,0.05,20.45,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Clemson,2400,0.04,26.91,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Ohio State,310,0.23,4.41,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Oregon,186,0.32,3.08,Elmer Fudd,9,27.71,9.00,27.71,1.00,,,
Orange,2025-01-09,Tennessee,1500,0.06,17.22,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Texas,205,0.30,3.28,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
National Championship,,,,,,,,,,,,,,
Natty,2025-01-20,Arizona State,6000,0.01,70.77,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Boise State,7500,0.01,88.17,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Clemson,6000,0.01,70.77,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Georgia,360,0.19,5.34,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Indiana,4000,0.02,47.56,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Notre Dame,1200,0.07,15.08,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Ohio State,500,0.14,6.96,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Oregon,380,0.18,5.57,Elmer Fudd,10,55.68,10.00,55.68,1.00,,,
Natty,2025-01-20,Penn State,600,0.12,8.12,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,SMU,4500,0.02,53.36,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Tennessee,2500,0.03,30.16,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Texas,360,0.19,5.34,Elmer Fudd,,0.00,0.00,0.00,0.00,,,
,,,,,,,,,,,,,,
Non-playoff games,,,,,,,,,,,,,,
Alamo,2024-12-28,BYU,102,0.47,2.11,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Alamo,2024-12-28,Colorado,-122,0.53,1.90,Bugs Bunny,4,7.60,4.00,0.00,0.00,,,
Citrus,2024-12-31,Illinois,310,0.23,4.28,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Citrus,2024-12-31,South Carolina,-400,0.77,1.30,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
PopTarts,2024-12-28,Iowa State,-113,0.51,1.97,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
PopTarts,2024-12-28,Miami,-105,0.49,2.04,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
ReliaQuest,2024-12-31,Alabama,-250,0.68,1.47,Bugs Bunny,8,11.73,8.00,11.73,1.00,,,
ReliaQuest,2024-12-31,Michigan,200,0.32,3.14,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Play-in games,,,,,,,,,,,,,,
Austin,2024-12-21,Clemson,300,0.24,4.18,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Austin,2024-12-21,Texas,-385,0.76,1.31,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Beaver,2024-12-21,Penn State,-300,0.72,1.39,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Beaver,2024-12-21,SMU,240,0.28,3.55,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Horseshoe,2024-12-21,Ohio State,-265,0.70,1.44,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Horseshoe,2024-12-21,Tennessee,215,0.30,3.29,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
SouthBend,2024-12-20,Indiana,230,0.29,3.46,Bugs Bunny,2,6.92,2.00,0.00,0.00,,,
SouthBend,2024-12-20,Notre Dame,-285,0.71,1.42,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Quarterfinals,,,,,,,,,,,,,#,Bugs Bunny
Fiesta,2024-12-31,Boise State,320,0.23,4.41,Bugs Bunny,,0.00,0.00,0.00,0.00,,1,Used
Fiesta,2024-12-31,Penn State,-172,0.60,1.66,Bugs Bunny,3,4.98,3.00,4.98,1.00,,2,Used
Fiesta,2024-12-31,SMU,460,0.17,5.87,Bugs Bunny,,0.00,0.00,0.00,0.00,,3,Used
Peach,2025-01-01,Arizona State,320,0.23,4.39,Bugs Bunny,,0.00,0.00,0.00,0.00,,4,Used
Peach,2025-01-01,Clemson,640,0.13,7.74,Bugs Bunny,5,38.68,5.00,0.00,0.00,,5,Used
Peach,2025-01-01,Texas,-205,0.64,1.56,Bugs Bunny,,0.00,0.00,0.00,0.00,,6,Used
Rose,2025-01-01,Ohio State,186,0.33,3.00,Bugs Bunny,,0.00,0.00,0.00,0.00,,7,Used
Rose,2025-01-01,Oregon,-144,0.56,1.78,Bugs Bunny,6,10.66,6.00,0.00,0.00,,8,Used
Rose,2025-01-01,Tennessee,820,0.10,9.65,Bugs Bunny,,0.00,0.00,0.00,0.00,,9,Used
Sugar,2025-01-01,Georgia,-215,0.65,1.54,Bugs Bunny,7,10.75,7.00,0.00,0.00,,10,Used
Sugar,2025-01-01,Indiana,1020,0.09,11.74,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Sugar,2025-01-01,Notre Dame,260,0.26,3.77,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Semis,,,,,,,,,,,,,,
Cotton,2025-01-10,Boise State,1800,0.05,20.66,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Georgia,136,0.39,2.57,Bugs Bunny,1,2.57,1.00,0.00,0.00,,,
Cotton,2025-01-10,Indiana,1480,0.06,17.18,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Notre Dame,530,0.15,6.85,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Penn State,215,0.29,3.42,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,SMU,1300,0.07,15.22,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Arizona State,1800,0.05,20.45,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Clemson,2400,0.04,26.91,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Ohio State,310,0.23,4.41,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Oregon,186,0.32,3.08,Bugs Bunny,9,27.71,9.00,27.71,1.00,,,
Orange,2025-01-09,Tennessee,1500,0.06,17.22,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Texas,205,0.30,3.28,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
National Championship,,,,,,,,,,,,,,
Natty,2025-01-20,Arizona State,6000,0.01,70.77,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Boise State,7500,0.01,88.17,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Clemson,6000,0.01,70.77,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Georgia,360,0.19,5.34,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Indiana,4000,0.02,47.56,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Notre Dame,1200,0.07,15.08,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Ohio State,500,0.14,6.96,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Oregon,380,0.18,5.57,Bugs Bunny,10,55.68,10.00,55.68,1.00,,,
Natty,2025-01-20,Penn State,600,0.12,8.12,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,SMU,4500,0.02,53.36,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Tennessee,2500,0.03,30.16,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Texas,360,0.19,5.34,Bugs Bunny,,0.00,0.00,0.00,0.00,,,
,,,,,,,,,,,,,,
Non-playoff games,,,,,,,,,,,,,,
Alamo,2024-12-28,BYU,102,0.47,2.11,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Alamo,2024-12-28,Colorado,-122,0.53,1.90,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Citrus,2024-12-31,Illinois,310,0.23,4.28,Daffy Duck,1,4.28,1.00,4.28,1.00,,,
Citrus,2024-12-31,South Carolina,-400,0.77,1.30,Daffy Duck,,0.00,0.00,0.00,0.00,,,
PopTarts,2024-12-28,Iowa State,-113,0.51,1.97,Daffy Duck,,0.00,0.00,0.00,0.00,,,
PopTarts,2024-12-28,Miami,-105,0.49,2.04,Daffy Duck,,0.00,0.00,0.00,0.00,,,
ReliaQuest,2024-12-31,Alabama,-250,0.68,1.47,Daffy Duck,,0.00,0.00,0.00,0.00,,,
ReliaQuest,2024-12-31,Michigan,200,0.32,3.14,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Play-in games,,,,,,,,,,,,,,
Austin,2024-12-21,Clemson,300,0.24,4.18,Daffy Duck,7,29.23,7.00,0.00,0.00,,,
Austin,2024-12-21,Texas,-385,0.76,1.31,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Beaver,2024-12-21,Penn State,-300,0.72,1.39,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Beaver,2024-12-21,SMU,240,0.28,3.55,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Horseshoe,2024-12-21,Ohio State,-265,0.70,1.44,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Horseshoe,2024-12-21,Tennessee,215,0.30,3.29,Daffy Duck,,0.00,0.00,0.00,0.00,,,
SouthBend,2024-12-20,Indiana,230,0.29,3.46,Daffy Duck,,0.00,0.00,0.00,0.00,,,
SouthBend,2024-12-20,Notre Dame,-285,0.71,1.42,Daffy Duck,3,4.25,3.00,4.25,1.00,,,
Quarterfinals,,,,,,,,,,,,,#,Daffy Duck
Fiesta,2024-12-31,Boise State,320,0.23,4.41,Daffy Duck,,0.00,0.00,0.00,0.00,,1,Used
Fiesta,2024-12-31,Penn State,-172,0.60,1.66,Daffy Duck,4,6.64,4.00,6.64,1.00,,2,Used
Fiesta,2024-12-31,SMU,460,0.17,5.87,Daffy Duck,,0.00,0.00,0.00,0.00,,3,Used
Peach,2025-01-01,Arizona State,320,0.23,4.39,Daffy Duck,,0.00,0.00,0.00,0.00,,4,Used
Peach,2025-01-01,Clemson,640,0.13,7.74,Daffy Duck,5,38.68,5.00,0.00,0.00,,5,Used
Peach,2025-01-01,Texas,-205,0.64,1.56,Daffy Duck,,0.00,0.00,0.00,0.00,,6,Used
Rose,2025-01-01,Ohio State,186,0.33,3.00,Daffy Duck,,0.00,0.00,0.00,0.00,,7,Used
Rose,2025-01-01,Oregon,-144,0.56,1.78,Daffy Duck,6,10.66,6.00,0.00,0.00,,8,Used
Rose,2025-01-01,Tennessee,820,0.10,9.65,Daffy Duck,,0.00,0.00,0.00,0.00,,9,Used
Sugar,2025-01-01,Georgia,-215,0.65,1.54,Daffy Duck,,0.00,0.00,0.00,0.00,,10,Used
Sugar,2025-01-01,Indiana,1020,0.09,11.74,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Sugar,2025-01-01,Notre Dame,260,0.26,3.77,Daffy Duck,2,7.55,2.00,0.00,0.00,,,
Semis,,,,,,,,,,,,,,
Cotton,2025-01-10,Boise State,1800,0.05,20.66,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Georgia,136,0.39,2.57,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Indiana,1480,0.06,17.18,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Notre Dame,530,0.15,6.85,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Cotton,2025-01-10,Penn State,215,0.29,3.42,Daffy Duck,8,27.40,8.00,0.00,0.00,,,
Cotton,2025-01-10,SMU,1300,0.07,15.22,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Arizona State,1800,0.05,20.45,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Clemson,2400,0.04,26.91,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Ohio State,310,0.23,4.41,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Oregon,186,0.32,3.08,Daffy Duck,9,27.71,9.00,27.71,1.00,,,
Orange,2025-01-09,Tennessee,1500,0.06,17.22,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Orange,2025-01-09,Texas,205,0.30,3.28,Daffy Duck,,0.00,0.00,0.00,0.00,,,
National Championship,,,,,,,,,,,,,,
Natty,2025-01-20,Arizona State,6000,0.01,70.77,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Boise State,7500,0.01,88.17,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Clemson,6000,0.01,70.77,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Georgia,360,0.19,5.34,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Indiana,4000,0.02,47.56,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Notre Dame,1200,0.07,15.08,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Ohio State,500,0.14,6.96,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Oregon,380,0.18,5.57,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Penn State,600,0.12,8.12,Daffy Duck,10,81.21,10.00,0.00,0.00,,,
Natty,2025-01-20,SMU,4500,0.02,53.36,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Tennessee,2500,0.03,30.16,Daffy Duck,,0.00,0.00,0.00,0.00,,,
Natty,2025-01-20,Texas,360,0.19,5.34,Daffy Duck,,0.00,0.00,0.00,0.00,,,
